audio_duration,audio_url,user,timestamp,id,chat_id,message
1050.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737807232405.m4a?alt=media&token=9b19b6f3-f712-4055-bc2c-49a9019a73e1,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 12:13:53.154000+00:00,IbJ8GtfpoEXJUJJgxxnN,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1300.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737803419210.m4a?alt=media&token=185a89d0-7443-4cb4-946f-5ab0070dfd62,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 11:10:19.856000+00:00,Jc0jYitNfVjsLNu52OBY,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 10:51:41.488000+00:00,NL79w3FcEIYLoOmdU1Wa,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,Iuyt
1750.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737805435064.m4a?alt=media&token=ec3af6b6-8766-4556-a2ff-55f1e684805e,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 11:43:55.950000+00:00,S9Mkc8aDnIkng6QMAYMk,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1850.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737803413999.m4a?alt=media&token=f6006425-4365-4ba2-9424-ef1eea79a9a7,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 11:10:14.805000+00:00,TpmkAx3cwiIXQXMLdtTq,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,2025-01-22 11:05:22.275000+00:00,UW4t5SR0Xkyas2LDL1qV,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,Random message #2025-01-22 11:05:22.275022
1850.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737559590321.m4a?alt=media&token=0376f4f1-6604-4a06-acd3-dd312b09f850,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:26:31.087000+00:00,VayWg8fmirwwqHRG152X,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1800.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737560279230.m4a?alt=media&token=034d1156-79b1-4767-ae4a-13872d75f908,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:37:59.937000+00:00,YSLnCXvkMFItYoUFZXjC,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1000.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737807227725.m4a?alt=media&token=72d3a911-0c68-4081-9fd7-91e4478104cb,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 12:13:48.341000+00:00,bFQC9Bta6AfIZAhrpM9S,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1500.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737559517354.m4a?alt=media&token=c6e5306e-b1f1-45f3-8367-040be98e190d,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:25:18.089000+00:00,bLscIBTSqTcbDW487Coh,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,2025-01-22 15:43:53.970000+00:00,beGwJkeeWx3E5UAYzVwW,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,Random message #2025-01-22 15:43:53.970125
1050.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737807223793.m4a?alt=media&token=d41728ab-a11a-4fe1-b368-c2f31067d4ae,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 12:13:44.419000+00:00,c03tZLbb2nC1MgpUhSE2,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 11:05:32.258000+00:00,doRtkit4vWaL2Sr2U6LK,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,5
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 13:03:50.923000+00:00,etZPvreIeGf1ydm0ILaO,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,======= Test audio message =======
1600.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737802755055.m4a?alt=media&token=d69034ed-b4a4-4df1-9a7e-d78d9bcf2476,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 10:59:15.708000+00:00,iIJqKRsYh0BVy3EYzHza,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
4400.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737555771660.m4a?alt=media&token=b7554299-6304-4066-bcbb-dcac966b952d,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 14:22:52.386000+00:00,kqxrdsRK5Eq4uRd0H2tn,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 11:39:55.527000+00:00,lY7hWfzRb2yQwt6yPxXg,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,Tgghh
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 11:05:11.450000+00:00,oGnhwVAn4snKCJ31rH7A,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,1
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:37:01.055000+00:00,oSWKxzoM9BPkSZrWr4Db,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,dvsdvsdv
10750.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737560572997.m4a?alt=media&token=14098ae8-f4f1-4277-b01e-a09f87e4c7a8,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:43:05.004000+00:00,qDR6NEUWgnaMzSl0V1om,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1900.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737560230882.m4a?alt=media&token=4894ee62-64cf-42b6-b1c8-1dddacf2d399,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:37:11.659000+00:00,qHyEjRNYDHPGLsaIHK0h,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 11:05:17.685000+00:00,tQxD4WLNfdmuTGdxF2kU,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,3
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:09:16.180000+00:00,tuWvLZBvDAX5bECWkf5E,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,toto
1800.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737560362826.m4a?alt=media&token=9b046738-8933-41ca-8211-cbab26fdedba,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:39:23.797000+00:00,tz0R4HDZyETDi0uqNrm5,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1600.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737559526948.m4a?alt=media&token=e070be35-05f7-461d-8f25-41d62ecbdd9a,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-22 15:25:27.706000+00:00,vSuLotxQ0FR35yS7mZPU,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
1850.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737802763958.m4a?alt=media&token=004f671c-06df-46d1-aeee-8766e87710f5,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 10:59:24.586000+00:00,wwaN1WGuAvN1BzuujT7J,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
2500.0,https://firebasestorage.googleapis.com/v0/b/klando-d3cb3.firebasestorage.app/o/users%2F2klQ8xW0LGXt5CVXVrq1oSTsnlg1%2Faudio_messages%2Faudio_test_1737803299115.m4a?alt=media&token=4597dce6-076d-4a62-8eee-744ce577d1d4,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-01-25 11:08:19.873000+00:00,y9O3SOW3ZierZO9aazjv,Jej9ZRk5pdFZzffDPNZX_2Zo07qmgs3RgKW8S5GS4ezzTPk42_2klQ8xW0LGXt5CVXVrq1oSTsnlg1,
,,users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,2025-02-07 19:31:48.358000+00:00,BVOKhhZ4Nhz7bz7kjS5u,test_trip_1738956570183_2klQ8xW0LGXt5CVXVrq1oSTsnlg1_2Zo07qmgs3RgKW8S5GS4ezzTPk42,Combien de valises dispo?
,,users/2Zo07qmgs3RgKW8S5GS4ezzTPk42,2025-02-07 19:52:47.844000+00:00,bcW20NLgrvCzkaaCj3hM,test_trip_1738956570183_2klQ8xW0LGXt5CVXVrq1oSTsnlg1_2Zo07qmgs3RgKW8S5GS4ezzTPk42,3 mais pas trop grande.
,,users/2klQ8xW0LGXt5CVXVrq1oSTsnlg1,2025-02-07 19:53:22.572000+00:00,tEVVykRVjLisOyXxRbhs,test_trip_1738956570183_2klQ8xW0LGXt5CVXVrq1oSTsnlg1_2Zo07qmgs3RgKW8S5GS4ezzTPk42,3 valises max
